"","NVDA","MSFT","PG","CAT","WMT","AMZN","EURUSD","GBPUSD","GBPCNY","USDZAR","GBPZAR","EURZAR"
"2017-08-08",4.20417737960815,66.4923782348633,74.0576705932617,95.7640533447266,23.7580070495605,49.492000579834,1.1814,1.3033,8.6907,13.2272,17.2503,15.6247
"2017-08-10",4.06691694259644,65.2317962646484,74.1870574951172,94.7093734741211,23.6349449157715,47.8460006713867,1.1732,1.30015,8.6319,13.3931,17.3809,15.7061
"2017-08-11",3.85016655921936,66.2274703979492,73.8635635375977,94.4582595825195,23.5587558746338,48.3995018005371,1.1765,1.2965,8.6435,13.4937,17.4993,15.8598
"2017-08-14",4.15727138519287,67.2231674194336,74.1142883300781,95.1781234741211,23.6466655731201,49.1650009155273,1.1797,1.29685,8.6623,13.3532,17.3432,15.7528
"2017-08-15",4.12221527099609,67.2415313720703,74.5590438842773,95.1279144287109,23.6671695709229,49.1370010375977,1.1744,1.2876,8.5919,13.3194,17.2053,15.6516
"2017-08-16",4.07703924179077,67.6364059448242,74.7531356811523,95.5213241577148,23.7287044525146,48.9090003967285,1.171,1.2871,8.6095,13.2668,17.1003,15.5401
"2017-08-17",3.98619174957275,66.4884796142578,74.4539184570312,94.7010269165039,23.3536434173584,48.0284996032715,1.1697,1.2864,8.6022,13.1752,16.9861,15.469
"2017-08-18",3.98693060874939,66.5711288452148,74.7773895263672,95.3538970947266,23.2393608093262,47.9235000610352,1.174,1.28915,8.5746,13.2385,17.0584,15.5354
"2017-08-21",3.92891812324524,66.258903503418,75.0927581787109,95.0860443115234,23.3565692901611,47.6645011901855,1.1761,1.28955,8.5979,13.2058,16.9985,15.5122
"2017-08-22",4.01638698577881,67.1864318847656,75.0361480712891,96.9442443847656,23.4474048614502,48.3450012207031,1.1771,1.2821,8.5481,13.1933,16.9613,15.5344
"2017-08-23",4.09668827056885,66.782356262207,74.7531356811523,96.0486297607422,23.4298248291016,47.9000015258789,1.1799,1.2808,8.5183,13.2366,16.9435,15.5987
"2017-08-24",4.08161592483521,66.7547912597656,74.6156387329102,96.0737533569336,22.955135345459,47.622501373291,1.1806,1.28215,8.5235,13.1991,16.8955,15.5651
"2017-08-25",4.04752016067505,66.8741760253906,74.8097229003906,96.5508270263672,23.0401153564453,47.2630004882812,1.1808,1.28365,8.5555,13.1516,16.8524,15.5175
"2017-08-29",4.06950998306274,67.0853958129883,74.6560897827148,97.1032638549805,23.0811309814453,47.7029991149902,1.2048,1.2949,8.543,13.0524,16.9192,15.734
"2017-08-30",4.09372425079346,67.9670333862305,74.2921752929688,98.3922958374023,23.0137405395508,48.3795013427734,1.1916,1.2925,8.5167,13.0285,16.8302,15.5606
"2017-08-31",4.1866283416748,68.6649551391602,74.6156387329102,98.3420639038086,22.8760242462158,49.0299987792969,1.1825,1.2876,8.488,13.0274,16.7936,15.485
"2017-09-01",4.21183204650879,67.9027481079102,74.8259048461914,99.0033264160156,22.9639320373535,48.9124984741211,1.192,1.2933,8.5008,12.9576,16.7568,15.4202
"2017-09-05",4.09940719604492,67.5996856689453,74.9795532226562,99.0200729370117,23.382942199707,48.263500213623,1.189,1.296,8.5118,12.9677,16.7465,15.405
"2017-09-06",4.09693574905396,67.4068298339844,74.9795532226562,97.9151916503906,23.4649829864502,48.3899993896484,1.1931,1.3047,8.5254,12.9216,16.8569,15.4368
"2017-09-07",4.1159610748291,68.2700653076172,75.1817398071289,98.5764389038086,23.476713180542,48.9734992980957,1.1971,1.309,8.5044,12.8128,16.7239,15.3279
"2017-09-08",4.04455423355103,67.9394836425781,75.0765914916992,98.6183166503906,23.1133670806885,48.2949981689453,1.206,1.31945,8.5397,12.8247,16.851,15.4499
"2017-09-11",4.17575693130493,68.6557769775391,76.0065536499023,99.4971618652344,23.171968460083,48.8979988098145,1.1997,1.3215,8.6024,12.8736,16.9822,15.4766
"2017-09-12",4.19082689285278,68.5823287963867,75.6183776855469,101.229820251465,23.3272705078125,49.1290016174316,1.1933,1.3277,8.6652,12.9233,17.1059,15.4678
"2017-09-13",4.20960760116577,69.0690460205078,75.650749206543,100.133316040039,23.4005222320557,49.9799995422363,1.1979,1.32645,8.6485,13.0443,17.3294,15.6389
"2017-09-14",4.18564081192017,68.6649551391602,75.650749206543,100.844764709473,23.3477821350098,49.6105003356934,1.1885,1.3243,8.7503,13.1293,17.3477,15.6251
"2017-09-15",4.45026969909668,69.160888671875,75.4242858886719,101.589744567871,23.5528945922852,49.3395004272461,1.1963,1.35825,8.9054,13.1399,17.6574,15.6641
"2017-09-18",4.63410186767578,69.0231475830078,75.327278137207,103.648834228516,23.4415531158447,48.7094993591309,1.1948,1.35435,8.9064,13.2024,17.8813,15.7491
"2017-09-19",4.62916040420532,69.2802886962891,76.152099609375,104.410507202148,23.4562034606934,48.4930000305176,1.1972,1.34995,8.8954,13.3274,17.9594,15.9589
"2017-09-20",4.5918493270874,68.8210906982422,76.3381042480469,104.502563476562,23.5880603790283,48.6604995727539,1.2007,1.3533,8.9135,13.2923,18.0668,15.9587
"2017-09-21",4.46633005142212,68.1507034301758,74.9148330688477,104.452354431152,23.4444789886475,48.2324981689453,1.1905,1.348,8.928,13.3476,18.0286,15.8963
"2017-09-22",4.42284297943115,68.3343734741211,74.5913925170898,104.151023864746,23.3038291931152,47.7550010681152,1.1961,1.3557,8.9116,13.1908,17.9012,15.821
"2017-09-26",4.24889326095581,67.2782745361328,74.9229354858398,104.217994689941,23.2628059387207,46.9300003051758,1.1787,1.3432,8.8982,13.2977,17.9186,15.7085
"2017-09-27",4.34204626083374,67.8200836181641,73.4835205078125,104.226379394531,23.2335071563721,47.5434989929199,1.1741,1.3426,8.8896,13.466,18.0102,15.8024
"2017-09-28",4.34080934524536,67.8384780883789,73.4997024536133,104.820648193359,23.133882522583,47.8199996948242,1.1778,1.342,8.9525,13.6071,18.19,16.0006
"2017-09-29",4.41716003417969,68.407829284668,73.5724563598633,104.385398864746,22.8965339660645,48.0675010681152,1.1806,1.3384,8.9194,13.4943,18.0743,15.9213
"2017-10-02",4.42284297943115,68.5180130004883,74.2113265991211,104.393760681152,22.9873676300049,47.9594993591309,1.1744,1.33105,8.8329,13.6246,18.1412,15.9967
"2017-10-03",4.43198394775391,68.1966094970703,74.4943389892578,105.055046081543,23.2129993438721,47.8549995422363,1.1753,1.3259,8.8123,13.6485,18.1007,16.0206
"2017-10-04",4.46904897689819,68.5915145874023,74.7369537353516,106.084571838379,23.1749019622803,48.2724990844727,1.1787,1.3282,8.8336,13.5947,18.0313,15.9928
"2017-10-05",4.46657752990723,69.7669830322266,74.4215774536133,105.799980163574,23.2686653137207,49.0424995422363,1.1742,1.3182,8.7418,13.5927,17.9369,15.9965
"2017-10-06",4.4796724319458,69.7945404052734,74.6641693115234,106.243583679199,23.1485271453857,49.4790000915527,1.1707,1.3064,8.6879,13.6944,17.8986,16.0204
"2017-10-10",4.66819906234741,70.0608749389648,74.0900115966797,107.298271179199,24.6517181396484,49.3600006103516,1.1797,1.3189,8.6865,13.7365,18.124,16.1858
"2017-10-11",4.71786546707153,70.1802673339844,73.9606018066406,107.641448974609,25.120548248291,49.75,1.183,1.3195,8.6876,13.5912,17.9445,16.0859
"2017-10-12",4.72008800506592,70.8230972290039,74.5186233520508,108.804901123047,25.2289600372314,50.046501159668,1.1856,1.3167,8.6705,13.4722,17.8439,15.9807
"2017-10-13",4.80804920196533,71.1628723144531,75.2383270263672,109.40754699707,25.3813381195068,50.1469993591309,1.181,1.329,8.7527,13.3902,17.8304,15.8366
"2017-10-16",4.89057683944702,71.3098220825195,75.3191986083984,110.043678283691,25.123477935791,50.3170013427734,1.1803,1.33015,8.7508,13.3063,17.6934,15.6841
"2017-10-17",4.88612985610962,71.2547225952148,75.0442276000977,109.265251159668,25.193811416626,50.4565010070801,1.1759,1.3204,8.7212,13.3224,17.6722,15.6785
"2017-10-18",4.88193130493164,71.2730865478516,75.0199737548828,109.893020629883,25.2641296386719,49.8499984741211,1.1749,1.31795,8.7271,13.4424,17.7359,15.8056
"2017-10-19",4.88736438751221,71.5486068725586,74.6207504272461,110.110641479492,25.3168697357178,49.3305015563965,1.1834,1.3167,8.7318,13.5283,17.7822,15.9329
"2017-10-20",4.86512756347656,72.3751068115234,71.8995895385742,110.607460021973,25.6216144561768,49.1455001831055,1.1818,1.3178,8.7298,13.6213,17.8882,16.0759
"2017-10-23",4.85820913314819,72.3934860229492,71.1255874633789,110.87686920166,25.9761619567871,48.314998626709,1.174,1.3173,8.7522,13.681,18.0227,16.069
"2017-10-24",4.90910863876343,72.421012878418,70.864860534668,116.400535583496,25.7798442840576,48.7949981689453,1.1761,1.3179,8.7005,13.6619,18.029,16.0671
"2017-10-25",4.785071849823,72.2098083496094,70.7670974731445,115.2216796875,25.9263553619385,48.6455001831055,1.1785,1.3244,8.7934,13.6611,17.9671,16.0744
"2017-10-26",4.83523082733154,72.3291778564453,71.2885284423828,115.30590057373,25.9673728942871,48.6214981079102,1.1753,1.3219,8.7429,14.181,18.7678,16.7534
"2017-10-27",4.98768138885498,76.9668426513672,70.9137191772461,116.038444519043,25.8355102539062,55.0475006103516,1.1605,1.31025,8.7155,14.2799,18.6724,16.6168
"2017-10-30",5.03660488128662,77.0403213500977,70.2864074707031,114.92699432373,25.4780349731445,55.5424995422363,1.1612,1.319,8.7668,14.0952,18.5535,16.3955
"2017-10-31",5.10998916625977,76.3882827758789,70.3434371948242,114.346000671387,25.5835208892822,55.2639999389648,1.1638,1.3219,8.8084,14.0524,18.5661,16.3655
"2017-11-01",5.11962556838989,76.3882827758789,70.7915344238281,114.758583068848,25.7681217193604,55.1839981079102,1.1612,1.3297,8.752,14.1251,18.7906,16.4451
"2017-11-02",5.08849287033081,77.1872711181641,70.4819641113281,114.910148620605,26.0201187133789,54.7109985351562,1.1645,1.3137,8.6338,13.9794,18.536,16.272
"2017-11-03",5.15644121170044,77.269905090332,70.5389785766602,115.044906616211,26.2779750823975,55.5800018310547,1.1657,1.30915,8.6713,14.0711,18.3543,16.3836
"2017-11-06",5.17966890335083,77.5729904174805,70.1071929931641,115.95426940918,25.9908180236816,56.0330009460449,1.159,1.3112,8.7007,14.2307,18.6202,16.5176
"2017-11-07",5.2389669418335,77.3892974853516,70.864860534668,116.880477905273,26.0640697479248,56.1585006713867,1.1562,1.31335,8.723,14.1763,18.6511,16.4197
"2017-11-08",5.16805553436279,77.6556167602539,71.3537139892578,115.600639343262,26.4479236602783,56.6440010070801,1.159,1.3118,8.6786,14.158,18.5951,16.4332
"2017-11-09",5.07317352294922,77.2239837646484,71.5166320800781,113.958648681641,26.4596481323242,56.4565010070801,1.163,1.3121,8.7075,14.1496,18.5863,16.4065
"2017-11-10",5.34052085876465,77.0219497680664,71.8262329101562,114.918571472168,26.6413288116455,56.2675018310547,1.1654,1.316,8.7779,14.2788,18.7694,16.6155
"2017-11-13",5.25379323959351,77.0770568847656,72.5106353759766,114.960647583008,26.6618328094482,56.4584999084473,1.1656,1.3092,8.7044,14.4217,18.8672,16.7876
"2017-11-14",5.29209041595459,77.1872711181641,72.4047088623047,115.811111450195,26.6911277770996,56.8419990539551,1.1745,1.3111,8.7038,14.4606,18.9695,16.9168
"2017-11-15",5.18831491470337,76.5873336791992,71.8832931518555,112.914566040039,26.321928024292,56.3344993591309,1.184,1.3169,8.7139,14.3449,18.9109,16.9622
"2017-11-16",5.22859001159668,76.7903823852539,72.7142868041992,114.817520141602,29.1905918121338,56.8644981384277,1.1771,1.319,8.7454,14.3315,18.8688,16.8918
"2017-11-17",5.22241353988647,76.0520172119141,72.0462112426758,114.623878479004,28.5605983734131,56.4939994812012,1.1795,1.3198,8.749,14.2125,18.8095,16.7494
"2017-11-20",5.28962278366089,76.172004699707,71.9158935546875,115.280662536621,28.5635223388672,56.3154983520508,1.1781,1.3245,8.7927,14.0419,18.5936,16.54
"2017-11-21",5.33829641342163,77.2703247070312,72.2824935913086,115.861625671387,28.2822284698486,56.9744987487793,1.1718,1.32315,8.7669,14.1012,18.6819,16.5681
"2017-11-22",5.31431293487549,76.7073287963867,71.9647521972656,116.206848144531,28.2499961853027,57.8079986572266,1.1749,1.32495,8.7782,13.8975,18.4086,16.3518
"2017-11-27",5.29478073120117,77.4087753295898,72.4780197143555,115.516410827637,28.3115329742432,59.7915000915527,1.1952,1.33495,8.8,14.013,18.6863,16.7477
"2017-11-28",5.20996999740601,78.3409423828125,72.8365097045898,117.03205871582,28.3554821014404,59.6800003051758,1.1888,1.3297,8.7396,13.738,18.3079,16.3743
"2017-11-29",4.85663843154907,76.9195785522461,72.8202056884766,116.248962402344,28.5869674682617,58.0634994506836,1.1827,1.34035,8.8641,13.6385,18.3015,16.178
"2017-11-30",4.96271181106567,77.6856460571289,73.3171844482422,118.850769042969,28.4902687072754,58.8375015258789,1.1849,1.34445,8.942,13.6423,18.3694,16.1716
"2017-12-01",4.88779401779175,77.7687301635742,73.6186447143555,119.16236114502,28.5254344940186,58.1175003051758,1.1885,1.35025,8.9219,13.6687,18.491,16.3149
"2017-12-04",4.61531400680542,74.8337020874023,74.47412109375,119.145492553711,28.4258098602295,56.6974983215332,1.1865,1.3505,8.9211,13.7535,18.5032,16.324
"2017-12-05",4.64202070236206,75.3044204711914,74.4659729003906,118.000350952148,28.6660823822021,57.078498840332,1.1847,1.3412,8.9045,13.5186,18.0912,16.0229
"2017-12-06",4.67960166931152,76.4027252197266,74.3437652587891,118.16877746582,28.5049228668213,57.6175003051758,1.1817,1.33625,8.8503,13.4916,18.0862,15.943
"2017-12-07",4.74710416793823,76.1350936889648,73.4067916870117,120.315925598145,28.5078639984131,57.9894981384277,1.1786,1.3331,8.8784,13.5954,18.1866,16.0344
"2017-12-08",4.7347412109375,77.6764450073242,73.6268005371094,121.132659912109,28.4401206970215,58.0999984741211,1.1742,1.3455,8.8548,13.6988,18.4995,16.0844
"2017-12-11",4.81312131881714,78.6640090942383,73.5127334594727,121.056884765625,28.5520534515381,58.4459991455078,1.1796,1.3374,8.8423,13.6608,18.2556,16.1081
"2017-12-12",4.71866893768311,78.9870376586914,73.2031326293945,120.762161254883,28.4843044281006,58.2540016174316,1.1766,1.3349,8.8212,13.6146,18.1884,16.0421
"2017-12-13",4.60344696044922,78.7747268676758,74.0422897338867,125.098594665527,28.7965354919434,58.2065010070801,1.1736,1.3353,8.8424,13.6267,18.1473,16.0025
"2017-12-14",4.61061763763428,78.1656036376953,74.1400756835938,123.170364379883,28.6109638214111,58.7130012512207,1.1845,1.34345,8.8721,13.4695,18.0923,15.9365
"2017-12-15",4.7364706993103,80.1591796875,74.8651733398438,123.515579223633,28.6050777435303,58.9570007324219,1.1806,1.3395,8.8009,13.4802,18.1026,15.8885
"2017-12-18",4.89323282241821,79.7253952026367,74.8570404052734,126.108985900879,28.8377742767334,59.5289993286133,1.1795,1.33665,8.8628,13.0693,17.4462,15.3917
"2017-12-19",4.84897518157959,79.2177810668945,74.6941070556641,127.068893432617,29.1028900146484,59.3689994812012,1.1823,1.3374,8.815,12.7394,17.0568,15.0453
"2017-12-20",4.86603403091431,78.9316558837891,74.5718841552734,128.424514770508,29.0881595611572,58.8810005187988,1.1845,1.3393,8.8173,12.7063,17.0054,15.0601
"2017-12-21",4.84353494644165,78.9131774902344,74.6859359741211,130.209671020508,28.884916305542,58.7379989624023,1.1859,1.33665,8.7913,12.7682,17.066,15.168
"2017-12-22",4.82820463180542,78.9224243164062,75.0606994628906,131.144241333008,28.9290962219238,58.4179992675781,1.1853,1.33855,8.7983,12.7144,16.9979,15.0748
"2017-12-27",4.87518167495728,79.1070175170898,75.0362854003906,132.634628295898,29.2383804321289,59.1129989624023,1.1895,1.3414,8.7844,12.4921,16.7281,14.8362
"2017-12-28",4.88086986541748,79.1162567138672,75.0118255615234,133.392440795898,29.2796211242676,59.3050003051758,1.1934,1.3434,8.7767,12.2566,16.4851,14.6381
"2017-12-29",4.78444004058838,78.9501037597656,74.8570404052734,132.685165405273,29.0881595611572,58.4734992980957,1.1993,1.35115,8.7869,12.294,16.5871,14.7104
"2018-01-02",4.92908477783203,79.3285446166992,73.8549346923828,132.230453491211,29.0410327911377,59.4505004882812,1.2065,1.3551,8.8141,12.333,16.7051,14.8527
"2018-01-03",5.25348615646362,79.6977157592773,73.7653121948242,132.432525634766,29.2943553924561,60.2099990844727,1.2023,1.35615,8.7855,12.3954,16.8491,14.9216
"2018-01-04",5.28118085861206,80.3991622924805,74.2867431640625,134.251312255859,29.320858001709,60.4794998168945,1.2065,1.35545,8.7973,12.3018,16.6425,14.8021
"2018-01-05",5.32593536376953,81.3959732055664,74.3355941772461,136.373153686523,29.4946670532227,61.4570007324219,1.2045,1.35475,8.799,12.3477,16.7342,14.8857
