"asset","model","split_type","window_id","train_start","train_end","train_size","test_start","test_end","test_size","loglik","aic","bic","n_params","convergence"
"MSFT","TGARCH","tscv",2,678,3611,2934,3612,3631,20,7994.35115830066,-15978.7023166013,-15948.7817068078,5,TRUE
"MSFT","TGARCH","tscv",3,1355,4288,2934,4289,4308,20,8045.05724987084,-16080.1144997417,-16050.1938899482,5,TRUE
"AMZN","sGARCH_norm","tscv",1,1,2934,2934,2935,2954,20,5544.76166187601,-11081.523323752,-11057.5868359172,4,TRUE
"AMZN","sGARCH_norm","tscv",2,678,3611,2934,3612,3631,20,5991.16430941766,-11974.3286188353,-11950.3921310005,4,TRUE
"AMZN","sGARCH_norm","tscv",3,1355,4288,2934,4289,4308,20,6181.07900939916,-12354.1580187983,-12330.2215309635,4,TRUE
"AMZN","eGARCH","tscv",1,1,2934,2934,2935,2954,20,6679.08570017231,-13348.1714003446,-13318.2507905511,5,TRUE
"AMZN","eGARCH","tscv",2,678,3611,2934,3612,3631,20,6898.65698111563,-13787.3139622313,-13757.3933524377,5,TRUE
"AMZN","eGARCH","tscv",3,1355,4288,2934,4289,4308,20,7180.31310310853,-14350.6262062171,-14320.7055964235,5,TRUE
"AMZN","gjrGARCH","tscv",1,1,2934,2934,2935,2954,20,6633.81218995694,-13257.6243799139,-13227.7037701204,5,TRUE
"AMZN","gjrGARCH","tscv",2,678,3611,2934,3612,3631,20,6875.81609454113,-13741.6321890823,-13711.7115792887,5,TRUE
"AMZN","gjrGARCH","tscv",3,1355,4288,2934,4289,4308,20,7154.13417181822,-14298.2683436364,-14268.3477338429,5,TRUE
"AMZN","TGARCH","tscv",1,1,2934,2934,2935,2954,20,6793.9950385266,-13577.9900770532,-13548.0694672597,5,TRUE
"AMZN","TGARCH","tscv",2,678,3611,2934,3612,3631,20,7115.57769175082,-14221.1553835016,-14191.2347737081,5,TRUE
"AMZN","TGARCH","tscv",3,1355,4288,2934,4289,4308,20,7315.85480263171,-14621.7096052634,-14591.7889954699,5,TRUE
"EURUSD","sGARCH_norm","tscv",1,1,2934,2934,2935,2954,20,9690.38318700543,-19372.7663740109,-19348.829886176,4,TRUE
"EURUSD","sGARCH_norm","tscv",2,678,3611,2934,3612,3631,20,9825.27989895853,-19642.5597979171,-19618.6233100822,4,TRUE
"EURUSD","sGARCH_norm","tscv",3,1355,4288,2934,4289,4308,20,10047.8560977029,-20087.7121954058,-20063.775707571,4,TRUE
"EURUSD","eGARCH","tscv",1,1,2934,2934,2935,2954,20,10728.4842407134,-21446.9684814267,-21417.0478716332,5,TRUE
"EURUSD","eGARCH","tscv",2,678,3611,2934,3612,3631,20,10782.2082139656,-21554.4164279311,-21524.4958181376,5,TRUE
"EURUSD","gjrGARCH","tscv",1,1,2934,2934,2935,2954,20,10729.9036188829,-21449.8072377658,-21419.8866279722,5,TRUE
"EURUSD","gjrGARCH","tscv",2,678,3611,2934,3612,3631,20,10742.3427619982,-21474.6855239964,-21444.7649142029,5,TRUE
"EURUSD","gjrGARCH","tscv",3,1355,4288,2934,4289,4308,20,11248.2702620765,-22486.5405241531,-22456.6199143595,5,TRUE
"EURUSD","TGARCH","tscv",1,1,2934,2934,2935,2954,20,10806.980320127,-21603.960640254,-21574.0400304605,5,TRUE
"EURUSD","TGARCH","tscv",2,678,3611,2934,3612,3631,20,10956.2631223016,-21902.5262446033,-21872.6056348097,5,TRUE
"EURUSD","TGARCH","tscv",3,1355,4288,2934,4289,4308,20,11231.6093983196,-22453.2187966391,-22423.2981868456,5,TRUE
"GBPUSD","sGARCH_norm","tscv",1,1,2934,2934,2935,2954,20,10050.9916224586,-20093.9832449172,-20070.0467570823,4,TRUE
"GBPUSD","sGARCH_norm","tscv",2,678,3611,2934,3612,3631,20,9996.74917238843,-19985.4983447769,-19961.5618569421,4,TRUE
"GBPUSD","sGARCH_norm","tscv",3,1355,4288,2934,4289,4308,20,10111.5337946796,-20215.0675893592,-20191.1311015244,4,TRUE
