"asset","model_family","dist","selected_p","selected_q","classical_BIC","classical_AIC","classical_LL","classical_MSE","classical_MAE","classical_LogLik","nf_MSE","nf_MAE","nf_LogLik","delta_MSE","delta_MAE","delta_LogLik"
"EURUSD","sGARCH","sstd",1,1,-7.45675061975955,-7.46898808797776,10963.0055250634,2.20825179097488e-05,0.00350114827143889,6043.9607137356,NA,NA,NA,NA,NA,NA
"EURUSD","eGARCH","norm",2,1,-7.40495350240917,-7.41923054866374,10891.0112148897,2.20810159775232e-05,0.00350093835243901,5981.44223636607,NA,NA,NA,NA,NA,NA
"EURUSD","eGARCH","sstd",1,1,-7.45625481489064,-7.47053186114522,10966.2702403,2.20789981361393e-05,0.00350061520003008,6153.91647861519,NA,NA,NA,NA,NA,NA
"EURUSD","gjrGARCH","norm",1,1,-7.40580510083685,-7.41600299101869,10884.2763878244,2.20841774675933e-05,0.00350134658975511,6112.72531273013,NA,NA,NA,NA,NA,NA
"EURUSD","gjrGARCH","sstd",1,1,-7.45419380852886,-7.46847085478344,10963.2467439673,2.20813043327487e-05,0.00350098165160568,6063.57101232905,NA,NA,NA,NA,NA,NA
"GBPUSD","sGARCH","norm",1,1,-7.47350817319533,-7.4816664853408,10979.604733995,3.43215151853892e-05,0.00431188888545906,5850.6497879914,NA,NA,NA,NA,NA,NA
"GBPUSD","sGARCH","sstd",1,1,-7.52948011214007,-7.54171758035828,11069.6996903856,3.43216848446396e-05,0.00431165913418082,5884.64928742832,NA,NA,NA,NA,NA,NA
"GBPUSD","eGARCH","norm",2,1,-7.47562123655602,-7.4898982828106,10994.6807808831,3.43228481663364e-05,0.00431286081058617,5806.24216921478,NA,NA,NA,NA,NA,NA
"GBPUSD","eGARCH","sstd",1,1,-7.53495360155169,-7.54923064780626,11081.7213603318,3.43230886993207e-05,0.00431295439035695,5868.82638053184,NA,NA,NA,NA,NA,NA
"GBPUSD","gjrGARCH","norm",1,1,-7.47078512447476,-7.4809830146566,10979.6020825012,3.43215135640158e-05,0.00431189520008064,5849.22822585094,NA,NA,NA,NA,NA,NA
"GBPUSD","gjrGARCH","sstd",1,1,-7.5269216122679,-7.54119865852247,11069.9384320525,3.43218278717042e-05,0.00431156206233229,5884.56321600794,NA,NA,NA,NA,NA,NA
"USDZAR","sGARCH","norm",1,1,-6.27551453014706,-6.28367284229253,9222.14805964314,9.79522875034966e-05,0.00762067318767246,5029.22619018546,NA,NA,NA,NA,NA,NA
"USDZAR","sGARCH","sstd",1,1,-6.30779688142885,-6.32003434964706,9277.49039093223,9.79513859633547e-05,0.00762025430347554,5035.98410313405,NA,NA,NA,NA,NA,NA
"USDZAR","eGARCH","norm",2,2,-6.27772262421088,-6.29403924850182,9241.35557755217,9.80106546343087e-05,0.00763212416347733,5038.02723708611,NA,NA,NA,NA,NA,NA
"USDZAR","eGARCH","sstd",1,1,-6.3083005107007,-6.32257755695527,9282.22127605338,9.79932584494563e-05,0.00762968525547159,5049.20315589203,NA,NA,NA,NA,NA,NA
"USDZAR","gjrGARCH","norm",1,1,-6.27645225149923,-6.28665014168107,9227.51575784613,9.79829340566733e-05,0.00762808126779227,5044.08121193212,NA,NA,NA,NA,NA,NA
"USDZAR","gjrGARCH","sstd",1,1,-6.30940745543358,-6.32368450168815,9283.84516397652,9.79822741112018e-05,0.00762797192350798,5051.80195164274,NA,NA,NA,NA,NA,NA
